bioproject_label,bioproject_label_id,bioproject_url,project_tilte,project_description,is_relevance_industrial,is_relevance_environmental,relevance_other,is_relevance_agricultural,is_relevance_model_organism,is_relevance_evolution
PRJNA873255,873255,https://www.ncbi.nlm.nih.gov/bioproject/873255,Transcriptomics of 20ZX-ABH and 20ZX-ABH-Y-T7 in methane and methane plus xylose,"Transcriptomic data of two 3HB-producing recombinant 20ZX-3HB and 20ZX-3HB-Y-T7 under two cultivation conditions (methane, and methane plus xylose)",,,Metabolic engineering,,,
PRJNA869840,869840,https://www.ncbi.nlm.nih.gov/bioproject/869840,P-mobilizing bacteria,P-mobilizing bacteria,,,,True,,
PRJNA858590,858590,https://www.ncbi.nlm.nih.gov/bioproject/858590,Methylomonas rapida strain:MP1 Genome sequencing,Methanotrophic bacteria sequencing project,,True,,,,
PRJEB52687,855793,https://www.ncbi.nlm.nih.gov/bioproject/855793,Draft genome sequence of a biofilter Methylocaldum isolate,"A methanotroph, Methylocaldum szegediense (Norfolk), was isolated from the soil of a functioning landfill methane biofilter. The genome of this isolate was then sequenced and annotated.",,,,,,
PRJEB35640,854407,https://www.ncbi.nlm.nih.gov/bioproject/854407,Freshwater metagenomes from different European and Asian lakes,"This study describes the microbial communities of different lakes in Europe and Asia using high throughput sequencing. Water samples from different depths representing the epi- and hypolimnion were taken at the deepest part of the lakes. 1-4 L of water were prefiltered through a plankton net (20 μm) and a 5-μm filter and then filtered onto polysulfone filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm filter (small, planktonic fraction) to obtain genomic DNA of the microbial community.",,,,,,
PRJNA850115,850115,https://www.ncbi.nlm.nih.gov/bioproject/850115,Urban MAG antimicrobial resistance diversity,Investigating the diversity and spread of antimicrobial resistance genes in metagenome-assembled genomes (MAGs) that were assembled from metagenomic samples taken in urban areas.,,,,,,
PRJNA847547,847547,https://www.ncbi.nlm.nih.gov/bioproject/847547,BugReMeDee Novel Microbial Isolates,Novel microbial species isolated as part of the BugReMeDee project,,True,,,,
PRJNA843551,843551,https://www.ncbi.nlm.nih.gov/bioproject/843551,"Mudoger v1.0, genome recovery made easy",We developed a pipeline for multi-domain genome recovery,,True,,,,
PRJNA835301,835301,https://www.ncbi.nlm.nih.gov/bioproject/835301,Methylococcus capsulatus strain:MIR Genome sequencing,New strain of Methylococcus capsulatus,,True,,,,
PRJNA833668,833668,https://www.ncbi.nlm.nih.gov/bioproject/833668,Metagenomic analysis of of anaerobic methane-oxidizing enrichment culture from terrestrial mud volcano,"Here we present metagenome-assembled genomes recovered from active anaerobic methane-oxidizing enrichment culture from terrestrial mud volcano located in the Taman Peninsula, Russia.",,True,,,,
PRJNA830509,830509,https://www.ncbi.nlm.nih.gov/bioproject/830509,Microbial environmental genome in microbial electrochemical system under electron influence,Microbial electrochemical system with efficient utilization of electrons,,True,,,,
PRJNA822090,822090,https://www.ncbi.nlm.nih.gov/bioproject/822090,Fermentative bacteria Raw sequence reads,sequencing reads of fermentative bacteria,,,,,,
PRJEB51079,809298,https://www.ncbi.nlm.nih.gov/bioproject/809298,Large-scale analysis of novel cellular microbes from the plant biome,"Shotgun metagenomics provides access to genomic information of microbes that have not or can not be cultured. The recovery of metagenomic assembled genomes (MAGs) of these organisms enables in depth analysis of these elusive organisms. But while prokaryotic MAGs are routinely collected and studied, MAGs of eukaryotic species are seldom reported. As MGnify is the largest collection of assembled metagenomic material to date, we used MGnify and other resources to systematically look for both prokaryotic and eukaryotic MAGs across multiple biomes. This project includes samples from the following biomes: root:Host-associated:Plants",,,,,,
PRJNA796612,796612,https://www.ncbi.nlm.nih.gov/bioproject/796612,Methylococcus capsulatus str. Bath Raw sequence reads,RNA sequencing analysis of growth of MC Bath in different medias at different culture temperatures,,,,,True,
PRJNA794946,794946,https://www.ncbi.nlm.nih.gov/bioproject/794946,Methylobacter sp. YRD-M1 isolate:soil Genome sequencing,The study goals were to study methanotroph function in hypoxic condition.,,True,,,,
PRJNA791232,791232,https://www.ncbi.nlm.nih.gov/bioproject/791232,Transcriptomic study of hydrogen sulfide toxicity in Methylococcus capsulatus,"Stress response of Methylococcus capsulatus str.Bath toward hydrogen sulfide (H2S) was investigated via physiological study and transcriptomic profiling. M. capsulatus (Bath) can grow and tolerate up to 0.75%vol H2S in headspace. Vast change in pH suggests biological relevant sulfide oxidation. Dozens of H2S-sensitive genes were identified from comparison of cell transcriptome in different H2S concentrations. Mc sulfide quinone reductase (SQR) and persulfide dioxygenase were found to be active during sulfide detoxification. Moreover, xoxF, a novel lanthanide(Ln)-dependent methanol dehydrogenase (MDH) was overexpressed in H2S while mxaF, a calcium-dependent MDH, was down-regulated, and such MDH switch phenomenon is also well known to be induced by addition of lanthanide via an as-yet-unknown mechanism. Activities in quorum sensing and RND efflux pump also suggest their role in sulfide detoxification, and might provide insight on the xoxF/mxaF switch mechanism. Overall design: RNA profile of M. capsulatus at mid-log phase as wild type, and in 0.1%, 0.5% and 0.75%H2S, and a H2S shock treatment.",,,Unknown,,,
PRJNA781406,781406,https://www.ncbi.nlm.nih.gov/bioproject/781406,Vanishing Glaciers Project,Investigating the microbiomes associated to glacier-fed streams around the world,,True,,,,
PRJNA780482,780482,https://www.ncbi.nlm.nih.gov/bioproject/780482,Biomarker Response of Aerobic Methanotrophs to Methane Oxidation Rates and Short-Term Methane and Oxygen Limitation,"Methanotrophs, which help regulate atmospheric levels of methane, are active in diverse natural and man-made environments. This range of habitats and the feast-famine cycles seen by many environmental methanotrophs suggest that methanotrophs dynamically mediate rates of methane oxidation. Global methane budgets require ways to account for this variability in time and space. Functional gene biomarker transcripts are increasingly being studied to inform the dynamics of diverse biogeochemical cycles. Previously, per-cell transcript levels of the methane oxidation biomarker, pmoA, were found to vary quantitatively with respect to methane oxidation rates in model aerobic methanotroph, Methylosinus trichosporium OB3b. In the present study, these trends were explored for two additional aerobic methanotroph pure cultures, Methylocystis parvus OBBP and Methylomicrobium album BG8. At steady-state conditions, per cell pmoA mRNA transcript levels strongly correlated with per cell methane oxidation across the three methanotrophs across many orders of magnitude of activity (R2 = 0.91). Additionally, genome-wide expression data (RNA-seq) were used to explore transcriptomic responses of steady state M. album BG8 cultures to short-term CH4 and O2 limitation. These limitations induced regulation of genes involved in central carbon metabolism (including carbon storage), cell motility, and stress response. Overall design: Comparison of genome-wide expression (RNA-seq) of M. album BG8 grown in bioreactors under steady-state, substrate replete conditions (reference) and corresponding periods of substrate (experimental condtion, methane and oxygen) limited conditions. Samples from substrate limited conditions are two hours after the onset of substrate limitation. Total of eight samples, duplicate for each condition which are from reactor replicates.",,,Unknown,,,
PRJNA769841,769841,https://www.ncbi.nlm.nih.gov/bioproject/769841,Response of Methylomonas sp DH-1 to oxygen concentration change,Identification of oxygen responsive genes and strong promoter candidates for Methylomonas sp DH-1,,,,,,
PRJEB37807,764123,https://www.ncbi.nlm.nih.gov/bioproject/764123,"Recovery of novel prokaryotic genomes associated with aquatic environments, based on assembly and binning of publicly available sequence data.","Using next generation sequencing, large amounts of metagenomic data have been generated from aquatic environments. However, a huge amount of the aquatic prokaryotic repertoire is still undefined. Here we identified 1504 uncultured prokaryotic aquatic species by reconstructing metagenome-assembled genomes (MAGs) from publicly available sequence data.",,,,,,
PRJNA761446,761446,https://www.ncbi.nlm.nih.gov/bioproject/761446,"Metagenomic sequencing of Echo Lake, Flathead County, Montana","We performed metagenomic sequencing on Echo Lake in Flathead County, Montana to identify the microbes associated with a strong methane gradient.",,True,,,,
PRJNA742920,742920,https://www.ncbi.nlm.nih.gov/bioproject/742920,Sequencing of new Methylococcus isolates,Complete genome sequences of new Methylococcus isolates. Comparative genomic study.,,,,,,
PRJDB8374,733712,https://www.ncbi.nlm.nih.gov/bioproject/733712,Genome sequencing of methane-oxidizing bacterium Methylomagnum ishizawai RS11D-Pr,"Whole-genome sequencing was conducted for a type I methane-oxidizing bacterium, Methylomagnum ishizawai RS11D-Pr (type strain of the species), isolated from rice rhizosphere.",,,,True,,
PRJDB8373,733711,https://www.ncbi.nlm.nih.gov/bioproject/733711,Genome sequencing of methane-oxidizing bacterium Methylogaea oryzae JCM16910,"Whole-genome sequencing was conducted for a methane-oxidizing bacterium, Methylogaea oryzae JCM16910 (type strain of the species), isolated from a rice paddy field in Uruguay.",,,,True,,
PRJNA732575,732575,https://www.ncbi.nlm.nih.gov/bioproject/732575,Methylobacter sp. S3L5C Genome sequencing,"In this project, we aim to isolate methanotrophic bacteria from hypoxic water columns of boreal lakes.",,True,,,,
PRJDB8300,730434,https://www.ncbi.nlm.nih.gov/bioproject/730434,Genome sequencing of methane-oxidizing bacterium Methylomonas koyamae Fw12E-Y,"Whole-genome sequencing of Methylomonas koyamae Fw12E-Y (type strain of the species), a type I methane-oxidizing bacterium isolated from floodwater of a rice paddy field, was conducted.",,,,True,,
PRJNA730330,730330,https://www.ncbi.nlm.nih.gov/bioproject/730330,Estuarine ecology,metagenomic study of estuaries,,True,,,,
PRJNA726368,726368,https://www.ncbi.nlm.nih.gov/bioproject/726368,Methylovulum psychrotolerans strain:S1L Genome sequencing and assembly,This study aims to isolate methanotrophic bacteria from water columns of boreal lakes and sequence their draft genomes.,,True,,,,
PRJNA724036,724036,https://www.ncbi.nlm.nih.gov/bioproject/724036,Methylomonas paludis strain:S2AM Genome sequencing,"The purpose of this study is to isolate methanotrophic microbes from methane-rich freshwater lakes into pure cultures, study their metabolism in hypoxic conditions and sequence and functionally annotate their draft genomes. The data provides fundamental knowledge of functional potential of methanotrophs mitigating methane emissions from natural freshwater ecosystems and insights into their biotechnological applicability.",,True,,,,
PRJNA722466,722466,https://www.ncbi.nlm.nih.gov/bioproject/722466,"Thermotolerant Methanotrophic Bacteria From Sediments Of The River Chernaya, Crimea.","The thermotolerant methanotrophic bacteria display high growth rates on methane. So far, the spectrum of strains that were employed for industrial purposes was restricted to representatives of the genus Methylococcus. This poses limitations to development of some biotechnological applications. This study was initiated in order discover new fast-growing methanotrophic isolates.",,,,,,
PRJNA720552,720552,https://www.ncbi.nlm.nih.gov/bioproject/720552,Methylotuvimicrobium buryatense strain:5GB1C Transcriptome or Gene expression,Functional genomics of Methylomicrobium buryatense,,,,,,
PRJNA720291,720291,https://www.ncbi.nlm.nih.gov/bioproject/720291,serpentinized hot spring,Spring water was obtained from the Manleluag spring in May of 2015. The water was filtered through a 0.22 polycarbonate film for DNA extraction.The sample was used to study the microorganisms in Manleluag spring (Philippines).,,,,,,
PRJDB10788,719501,https://www.ncbi.nlm.nih.gov/bioproject/719501,Transcriptome analysis of Methylocaldum marinum S8,RNA-seq was applied to sequence transcriptome of Methylocaldum marinum S8 grown under aerobic conditions.,,,,,,
PRJNA718760,718760,https://www.ncbi.nlm.nih.gov/bioproject/718760,Functional genomics of Methylomicrobium buryatense,Functional genomics of a type I methanotroph,,True,,,,
PRJNA718747,718747,https://www.ncbi.nlm.nih.gov/bioproject/718747,Functional genomics of Methylotuvimicrobium buryatense,Functional genomics of a type I methanotroph,,True,,,,
PRJEB43626,715158,https://www.ncbi.nlm.nih.gov/bioproject/715158,EET by a Methanoperedens enrichment culture,The goal of this project is to determine whether a Methanoperedens enrichment culture is capable of extracellular electron transport. We compared the community structure between a bioreactor and growth on the anode of a bioelectrochemical system.,,,,,,
PRJNA707313,707313,https://www.ncbi.nlm.nih.gov/bioproject/707313,Metagenome of environmental sample from a cold seep,The microorganisms inhabiting cold seeps transform the chemical energy in methane to products that sustain rich benthic communities around the gas leaks . The use of next-generation sequencing methods has tremendously improved the insights into seep microbiomes and will advance microbial ecology from the diversity microbial distribution pattern to the adaptive survival strategy in deep-sea environments. We collected a set of samples from a cold seep in South China Sea and obtained a set of draft genomes of environmental Bacteria and Archaea.,,,,,,
PRJNA701963,701963,https://www.ncbi.nlm.nih.gov/bioproject/701963,Characterization of methanotrophs from mercury contaminated streams,"Methane-oxidizing bacteria - methanotrophs - were isolated from mercury-contaminated East Fork Poplar Creek at Oak Ridge, Tennessee. The goal of this study was to understand the role of methanotrophs in mercury speciation in the environment.",,True,,,,
PRJNA698057,698057,https://www.ncbi.nlm.nih.gov/bioproject/698057,M. album BG8 grown in multiple nutrient conditions,"The gammaproteobacterial methanotroph Methylomicrobium album strain BG8 was grown in multiple nutrient combinations (methane or methanol, nitrate or ammonium, with or without copper) to evaluate transcriptomic responses to these conditions. This provides an important foundation for the future biotechnological optimization of this species.",True,,,,,
PRJNA695686,695686,https://www.ncbi.nlm.nih.gov/bioproject/695686,Methylocaldum sp. YM2 Genome sequencing,Genome sequencing of Methylocaldum sp. for systems level insights into methane cycling in arid and semi-arid ecosystems,,,Comparative Analysis,,,
PRJNA695685,695685,https://www.ncbi.nlm.nih.gov/bioproject/695685,Methylocaldum sp. S3v3 Genome sequencing,Genome sequencing of Methylocaldum sp. for systems level insights into methane cycling in arid and semi-arid ecosystems,,,Comparative Analysis,,,
PRJNA695684,695684,https://www.ncbi.nlm.nih.gov/bioproject/695684,Methylocaldum sp. RMAD-M Genome sequencing and assembly,Genome sequencing of Methylocaldum sp. for systems level insights into methane cycling in arid and semi-arid ecosystems,,,Comparative Analysis,,,
PRJNA693287,693287,https://www.ncbi.nlm.nih.gov/bioproject/693287,Methylomonas sp. LW13 Genome sequencing and assembly,Complete genome of Methylomonas sp. LW13 for genomic analysis.,,,,,True,
PRJNA691142,691142,https://www.ncbi.nlm.nih.gov/bioproject/691142,Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.,"We anticipate lower adsorption sites for ammonium in the soil enrichment than in the soil slurry incubations. As such, the effects of ammonium will be more accurately reflected in the soil enrichment incubations.",,,,,,
PRJNA690655,690655,https://www.ncbi.nlm.nih.gov/bioproject/690655,Methylomicrobium sp. RS1 Genome sequencing and assembly,"Methanotrophs from Indian rice fields for diversity, cultivation and genomes.",,True,,,,
PRJNA690107,690107,https://www.ncbi.nlm.nih.gov/bioproject/690107,Zodletone Spring Metagenomics and Metatranscriptomics,Active sulfur community in Zodletone spring sediment,,True,,,,
PRJNA680545,680545,https://www.ncbi.nlm.nih.gov/bioproject/680545,A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets,"We developed a computational framework to discover short DNA sequences that confer strong expression in non-model organisms. The framework relies solely on whole genome and RNA sequencing data types, which are easily accessible to a variety of research groups. The framework proceeds in three main stages: 1) identification of a group of highly expressed loci that maintain high transcript counts across a broad range of experimental conditions, 2) extraction of the corresponding upstream candidate promoter regions of these highly expressed loci while minding nearby annotations and avoiding those that may potentially reside in operons, and 3) application of the motif finding algorithm in BioProspector to these upstream regions to predict the location and sequence of the -35 and -10 hexamers that drive the strong expression of these loci. Ultimately, we report sequences of 27-30 bases in length as candidate -35, -10 signals for each of the top loci and create a consensus motif from these predictions. We apply our framework to 80 RNA-seq datasets collected for the methanotroph Methylotuvimicrobium buryatense 5GB1 and validate our predictions computationally and experimentally. The data deposited here represent all RNA-seq data that, until this study, has not previously been published. Overall design: 80 RNA-seq datasets measuring Methylotuvimicrobium buryatense expression across 12 experimental growth conditions were compiled from a previously published data sets, additionally including their associated quality control runs, and several previously unpublished experiments. RNA-seq data were generated from a mix of Illumina protocols using a variety of read lengths (36, 50, and 150 bp) and paired and unpaired libraries. Of these 80 datasets, 24 have been previuosly published and deposited. The remaining 56 samples are deposited here.",,,Unknown,,,
PRJNA675424,675424,https://www.ncbi.nlm.nih.gov/bioproject/675424,Methylobacter sp. BlB1 Genome sequencing and assembly,Methanotroph isolate from blackbuck feces.,,True,,,,
PRJNA674997,674997,https://www.ncbi.nlm.nih.gov/bioproject/674997,Riparian wetland methanotrophs,These bacteria were isolated as described from the same riparian wetland where the composition as well as functioning of the methanotrophic community was described thoroughly,,,,True,,
PRJNA672823,672823,https://www.ncbi.nlm.nih.gov/bioproject/672823,CROMO well depth profile 16S rRNA gene amplicons,Microbial diversity as a function of depth in a groundwater monitoring well within the Coast Range Ophiolite Microbial Observatory (CROMO),,True,,,,
PRJEB38681,639763,https://www.ncbi.nlm.nih.gov/bioproject/639763,Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds,"Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater environments and climate change impacts on the functioning of these ecosystems.",,,,,,
PRJNA638512,638512,https://www.ncbi.nlm.nih.gov/bioproject/638512,Methylococcus sp. BF19-07 Genome sequencing and assembly,Strain is used to produce protein-vitamin complexes for balancing animal feed,True,,,,,
PRJNA631717,631717,https://www.ncbi.nlm.nih.gov/bioproject/631717,Engineered methanotrophic platform for biomanufacturing of non-oxidative ribulose monophosphate pathway-derived products from methane and xylose,Comparative transcriptomic analysis between methane- and methane plus xylose- grown cultures revealed different transcriptional responses of pXyl M. alcaliphilum 20Z strain on diffirent growth modes. Overall design: Examination differental expression genes when pXyl strain grown on two growth modes: methane as sole carbon source and methane plus xylose as co-substrates,,,Unknown,,,
PRJEB32611,630607,https://www.ncbi.nlm.nih.gov/bioproject/630607,Genome sequencing of two Methylomonas species isolated from the river Elbe (Germany),"Two strains of methanotrophic bacteria isolated from River Elbe, Germany have been isolated (EbA, EbB). Our physiological characterization show that they represent novel species: Methylomonas albis EbA und Methylomonas fluvii EbB. Both genomes have been sequenced with PacBio and assembled with HGAP. We consider both genomes as complete and with a very small level of contamination. The whole-genome sequences are used for the phylogenomic analysis of the taxonomy of these strains.",,,,,,
PRJEB36447,621258,https://www.ncbi.nlm.nih.gov/bioproject/621258,Microbial community of the geothermal soils of Pantelleria,"In this stujdy, we try to describe a geothermal microbial community by means of metagenomics and genomics of isolated microorganisms.",,,,,,
PRJEB25176,614052,https://www.ncbi.nlm.nih.gov/bioproject/614052,Prokaryotic metagenome-assembled genomes retrieved from Amazon river basin water samples metagenomes sequenced in Illumina platform,"Amazon river basin is one of the largest freshwater basins in the world. This ecosystem is poorly understood. Recently some of these studies of this basin involved deep coverage metagenomes using Illumina technology. These 106 metagenomes, deposited in NCBI under projects numbers SRP044326 and SRP039390 and under ENA project number PRJEB25171, were used to generate 30 reads co-assemblies. These co-assemblies were binned through MetaBAT software into metagenome-assembled genomes. Then, they were further refined with software refineM. About 26 Medium- and 25 High-quality metagenome-assembled genomes were retrieved from Amazon river basin in this study and are here reported. Their taxonomy was made using marker sets available from CheckM software and was further confirmed by 16S taxonomy when it was available.",,,,,,
PRJNA601291,601291,https://www.ncbi.nlm.nih.gov/bioproject/601291,Biological organic matter and manganese oxidizing bacteria Raw sequence reads,Microbial community structure evolution in pilot-scale biofilter for ammonia and manganese removal at different temperature,,,,,,
PRJNA598329,598329,https://www.ncbi.nlm.nih.gov/bioproject/598329,"Enrichment cultures dominated by methanotrophs established with suspended particulate matter of the water column of Lake Lacamas (WA, US) Raw sequence reads","Diversity of enrichment cultures dominated by methanotrophs of the Methylobacter genus under different concentration of the electron acceptors (oxygen, nitrate, sulfate and humic substances) and under different concentrations of oxygen",,True,,,,
PRJNA597286,597286,https://www.ncbi.nlm.nih.gov/bioproject/597286,"Methylomicrobium buryatense 5GB1 transcriptome, Raw sequence reads",The transcriptomic study of Methylomicrobium butyatense 5GB1 under different supply ratio of CH4/O2,,,,,,
PRJEB35770,595687,https://www.ncbi.nlm.nih.gov/bioproject/595687,Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes),"This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.",,,,,,
PRJNA594089,594089,https://www.ncbi.nlm.nih.gov/bioproject/594089,Methylicorpusculum oleiharenae XLMV4 Genome sequencing and assembly,"An aerobic methane-oxidizing bacterium, designated XLMV4, was isolated from the oxic surface layer of an oil sands tailings pond in Alberta, Canada. Strain XLMV4T is capable of growth on methane and methanol as energy sources.",,True,,,,
PRJNA592411,592411,https://www.ncbi.nlm.nih.gov/bioproject/592411,Gut bacteria of three Altica species Genome sequencing and assembly,Comparison of gut bacterial diversity of three Altica species,,,,,,True
PRJNA592014,592014,https://www.ncbi.nlm.nih.gov/bioproject/592014,Methylococcus geothermalis strain:IM1 Genome sequencing,Niche diversification and ecological roles of members of the genus Methylococcus,,,,,,
PRJNA587052,587052,https://www.ncbi.nlm.nih.gov/bioproject/587052,Transcriptional and metabolic adaptations of the methanotroph Methylomicrobium alcaliphilum to high salinity conditions,"Methylomicrobium alcaliphilum is an alkaliphilic and halotolerant methanotroph with potential industrial applications as an ectoine producer or as a platform for metabolic engineering. The physiological, transcriptional and metabolic responses of M. alcaliphilum to high NaCl concentrations, have been studied using RNA-seq, metabolic modeling and enzyme activity tests. M. alcaliphilum was revealed to have an unusual respiratory chain, in which complex I is replaced by a Na+ extruding NQR complex (highly upregulated under high salinity conditions) and a Na+ driven ATP synthase that coexists with a more usual H+ driven ATP synthase. A thermodynamic and metabolic model showing the interplay between these different components is presented. Ectoine is the main osmoprotector used by the cells (but its effect is not enough to avoid molecular crowding as a result of large water outflow and the expression of chaperones is necessary). Ectoine synthesis is activated by the transcription of an ect operon that contains 5 genes, including the ectoine hydroxylase coding ectD gene. Enzymatic tests revealed that the product of ectD does not have catalytic activity. A new Genome Scale Metabolic Model for M. alcalyphilum was reconstructed and used to integrate RNA-seq data and reveal a higher flux in the oxidative branch of the penthose phosphate pathway leading to NADPH production and contributing to resistance to oxidative stress.",,,,,True,
